Learning Rate,Batch Size,# Hidden Neurons,RMSE,R2
0.016,128,80,63532.45121744679,0.6881955694364099
0.018,8,8,62080.05195226896,0.7022887802814802
0.018,8,16,58345.88215411133,0.7370268069624473
0.018,16,16,60830.23277089135,0.7141553848067292
0.018,16,24,58317.8211904834,0.7372796956473315
0.018,16,32,57652.97457195909,0.7432357843923865
0.018,16,48,58654.36519240404,0.7342387019436348
0.018,16,56,57355.69785408352,0.7458768704125243
0.018,16,72,57278.85201546865,0.7465573685533667
0.018,32,8,61143.86575961099,0.7112002288033265
0.018,32,16,59852.040980746126,0.7232746229291845
0.018,32,24,59172.59967116006,0.7295217434677699
0.018,32,32,60274.3750421622,0.7193555288627167
0.018,32,40,58996.0520784572,0.7311333356028065
0.018,32,48,59743.0097699577,0.7242819142711003
0.018,32,56,58266.344732344674,0.7377432912266723
0.018,32,64,58878.83500145714,0.7322006767091997
0.018,32,72,57879.24740767122,0.7412163646196988
0.018,32,80,58348.49498727832,0.7370032536133392
0.018,64,8,61571.4014182562,0.7071473650993519
0.018,64,16,61688.64305849969,0.7060310282402842
0.018,64,24,62478.68448768364,0.6984531389084757
0.018,64,32,61354.77078323377,0.7092044645573952
0.018,64,40,61033.16538733958,0.7122450204886677
0.018,64,48,61301.59030112632,0.7097083518484835
0.018,64,56,60894.32752943089,0.7135526978552178
0.018,64,64,61002.554995356295,0.7125335876576699
0.018,64,72,61377.1972148066,0.7089918421984036
0.018,64,80,60917.07245144484,0.713338673377798
0.018,128,8,65782.7316166512,0.6657165576953878
0.018,128,16,63936.71072369561,0.6842148971029818
0.018,128,24,63850.527850353465,0.6850656423146015
0.018,128,32,62719.7175036971,0.6961220095209557
0.018,128,40,64322.57630322226,0.6803917947970223
0.018,128,48,63929.06661318408,0.6842904015165642
0.018,128,56,63738.68466621588,0.6861679797045452
0.018,128,64,63364.132351396016,0.6898455308396296
0.018,128,72,62330.334200550045,0.6998834332431954
0.018,128,80,62250.93237697746,0.7006475756065668
0.02,8,8,60904.137910422476,0.7134603942319653
0.02,16,8,60616.952776001985,0.7161562997843448
0.02,16,16,58748.22979375813,0.7333874255407824
0.02,16,24,58306.132558583166,0.7373849990734036
0.02,16,32,58212.01684994156,0.7382321226201214
0.02,16,40,59050.349909242774,0.7306381975631727
0.02,32,8,61561.896221033625,0.707237777437691
0.02,32,16,60296.3817466357,0.7191505599219017
0.02,32,24,60075.42857918156,0.7212051069305616
0.02,32,32,59145.8193060971,0.7297665144380118
0.02,32,40,58024.02917299351,0.7399200791889023
0.02,32,48,58775.80785687615,0.7331370559822741
0.02,32,56,58282.255363464144,0.7376000442294282
0.02,32,64,58559.50735012234,0.7350976033517689
0.02,32,72,58337.33586280021,0.7371038400222947
0.02,32,80,57971.3808692217,0.7403918339009159
0.02,64,8,62285.181074618995,0.7003180945665877
0.02,64,16,61756.9951851293,0.7053792215117538
0.02,64,24,61610.297206052834,0.7067772474295089
0.02,64,32,61486.543805917485,0.7079540269632116
0.02,64,40,61848.019262952126,0.7045100941228967
0.02,64,48,60501.083916924785,0.7172403929626858
0.02,64,56,60718.37509109596,0.7152056690605801
0.02,64,64,60483.88489582006,0.7174011337920962
0.02,64,72,60827.61430895911,0.7141799928708499
0.02,64,80,60427.66192903455,0.7179262707628438
0.02,128,8,64561.03875315719,0.6780176414358258
0.02,128,16,63651.59302154197,0.6870250251177319
0.02,128,24,62948.901190928795,0.6938971550824706
0.02,128,32,63883.31843208427,0.6847420887641557
0.02,128,40,62922.91352548663,0.6941498443632705
0.02,128,48,63082.121596975434,0.6926001571839999
0.02,128,56,63429.02288868075,0.6892099537440146
0.02,128,64,62800.54513515756,0.6953382826261019
0.02,128,72,62515.03543008652,0.6981021487604839
0.02,128,80,62105.708558907776,0.7020426516847404
0.022,16,8,60605.146530362246,0.7162668563843786
0.022,16,16,59500.37993267551,0.7265168733650198
0.022,16,24,59976.86155366037,0.7221192057724667
0.022,16,32,57616.89986776595,0.743557009628766
0.022,16,40,58209.93619131093,0.7382508349028809
0.022,16,80,58326.08350969593,0.7372052472971712
0.022,32,8,60905.41274304977,0.7134483985326889
0.022,32,16,60406.92842748664,0.7181198037438952
0.022,32,24,60420.922905076775,0.7179891822031402
0.022,32,32,59446.29773689253,0.7270138061965478
0.022,32,40,58217.57420829407,0.7381821395609995
0.022,32,48,58629.705682289816,0.7344621180789282
0.022,32,56,57439.567347203934,0.7451331339862297
0.022,32,64,58666.150938038874,0.73413188944186
0.022,32,72,57200.185128893325,0.747253047705806
0.022,32,80,57743.55198183642,0.7424283566022362
0.022,64,8,61284.410644517884,0.7098710364376688
0.022,64,16,61543.667281086586,0.7074111299552792
0.022,64,24,61604.31799255834,0.7068341585772703
0.022,64,32,61561.4144735159,0.7072423593927907
0.022,64,40,60503.07331343079,0.7172217972554269
0.022,64,48,61171.17952467467,0.7109421498975848
0.022,64,56,60263.305193114444,0.7194586043950824
0.022,64,64,60979.65057920077,0.7127494151506919
0.022,64,72,58891.9413759465,0.7320814396737934
0.022,64,80,59733.63117954305,0.724368473151877
0.022,128,8,63746.61350462609,0.6860898959424261
0.022,128,16,63798.76636166833,0.6855760488597497
0.022,128,24,63816.03452697966,0.6854058179957363
0.022,128,32,62672.45352320965,0.6965798263729213
0.022,128,40,63269.64617567912,0.6907698222046699
0.022,128,48,63956.72478807871,0.6840171661748775
0.022,128,56,63374.919709684786,0.6897399180250576
0.022,128,64,62231.90946299562,0.7008305025160418
0.022,128,72,61769.63656146213,0.7052585940974732
0.022,128,80,62746.19860610837,0.6958653526580967
0.024,16,8,59569.85204950264,0.7258778675791356
0.024,16,16,58943.47705946792,0.7316123293966282
0.024,16,24,58182.739515453235,0.7384953651213995
0.024,16,40,56993.58899083111,0.7490754979668933
0.024,32,8,60745.92113674607,0.7149472057161216
0.024,32,16,60237.75105299456,0.7196964763184481
0.024,32,24,59294.420038421726,0.7284069140348974
0.024,32,32,59851.361899116906,0.7232809023492599
0.024,32,40,59330.47286648402,0.7280765397551039
0.024,32,48,58330.740136033295,0.7371632837109554
0.024,32,56,58313.29811677939,0.7373204467314441
0.024,32,64,58404.581254219316,0.7364974104023776
0.024,32,72,58519.18840317002,0.7354622549447656
0.024,32,80,57807.77883487349,0.7418550556627848
0.024,64,8,62553.95581703727,0.6977261227776275
0.024,64,16,61017.9214616732,0.7123887445669377
0.024,64,24,60594.98311972077,0.7163620118231496
0.024,64,32,60611.66663147665,0.7162058032097007
0.024,64,40,60428.13362981419,0.7179218669877161
0.024,64,48,60924.352077172734,0.7132701568923323
0.024,64,56,60457.025359571955,0.7176520696942443
0.024,64,64,59796.339447048944,0.7237894543401417
0.024,64,72,59656.09740151108,0.7250835438303354
0.024,64,80,59109.54512356784,0.730097881657377
0.024,128,8,63935.902026083626,0.6842228854101898
0.024,128,16,63446.367019849706,0.6890399646740222
0.024,128,24,62117.127155034366,0.7019330782665407
0.024,128,32,64437.89685558544,0.6792447501130889
0.024,128,40,63674.86156180634,0.686796160401149
0.024,128,48,62855.27325634916,0.6948070506592073
0.024,128,56,62476.700107935416,0.6984722934084975
0.024,128,64,63263.780994335066,0.690827151654529
0.024,128,72,62387.69989561478,0.6993307547368381
0.024,128,80,66905.46107746176,0.6542085947134297
0.026,8,8,63616.69458365154,0.6873681223755832
0.026,16,16,60832.45656223786,0.7141344849886041
0.026,16,32,58021.48005245577,0.7399429304287795
0.026,16,40,57029.03598667828,0.7487632773856198
0.026,16,56,58143.97374429149,0.7388437176312452
0.026,32,8,60237.0859375295,0.719702666230123
0.026,32,16,59950.539325470905,0.7223630610336467
0.026,32,32,59506.45740773539,0.7264610024019247
0.026,32,40,58511.42185708201,0.7355324680939082
0.026,32,48,59427.041658586415,0.7271906310737274
0.026,32,64,58280.34155975861,0.7376172767047168
0.026,32,80,58144.43357478186,0.7388395869161082
0.026,64,8,61675.71030781909,0.706154273904737
0.026,64,16,61529.864686061745,0.7075423549211726
0.026,64,24,60884.88604741146,0.7136415165515118
0.026,64,32,59917.63380280542,0.722667754918797
0.026,64,40,60392.92075663656,0.7182505181273936
0.026,64,48,59658.31115206245,0.7250631399562975
0.026,64,56,60136.914478697785,0.7206341338257105
0.026,64,64,59345.83594274609,0.7279356974011413
0.026,64,72,59390.4806301757,0.7275262063479337
0.026,64,80,58731.705332237296,0.7335373878339242
0.026,128,8,63649.4913868565,0.6870456922581065
0.026,128,16,63051.46463646886,0.6928988679646404
0.026,128,24,61677.953513336615,0.706132898606816
0.026,128,32,62041.803512361366,0.7026555158589385
0.026,128,40,62012.61653787614,0.7029352158032272
0.026,128,48,61615.87084323636,0.7067241916503301
0.026,128,56,62103.100480485504,0.7020676761094568
0.026,128,64,62699.91476554334,0.6963138683664043
0.026,128,72,62936.68975502991,0.6940159051364392
0.026,128,80,61202.01801156075,0.7106506285065554
0.028,16,8,60692.382569973015,0.7154494482527423
0.028,16,32,58017.96650771388,0.7399744254710607
0.028,32,8,61747.39692801623,0.7054707941740164
0.028,32,16,61682.81208001895,0.706086599108807
0.028,32,24,58541.01050678565,0.7352649232117704
0.028,32,32,59051.25976819694,0.7306298967440796
0.028,32,40,58048.17324177735,0.7397035932251363
0.028,32,48,57510.57368030435,0.7445026157492771
0.028,32,56,58044.74266734088,0.739734358700173
0.028,32,72,57705.152722518345,0.7427708111757608
